S_MIN,green,threshold,tp_rate,rejected_nj,composite,reject_nj_green,reject_nj_yellow,reject_nj_purple
30,wide,0.05,0.841,0.976,0.658,1.0,0.0,1.0
30,wide,0.1,0.676,0.976,0.329,1.0,0.0,1.0
30,wide,0.15,0.676,0.976,0.329,1.0,0.0,1.0
30,wide,0.2,0.676,0.976,0.329,1.0,0.0,1.0
30,wide,0.25,0.606,0.976,0.188,1.0,0.0,1.0
30,wide,0.3,0.453,0.976,-0.118,1.0,0.0,1.0
30,wide,0.35,0.382,0.996,-0.239,1.0,0.833,1.0
30,wide,0.4,0.318,1.0,-0.365,1.0,1.0,1.0
30,wide,0.45,0.206,1.0,-0.588,1.0,1.0,1.0
30,wide,0.5,0.065,1.0,-0.871,1.0,1.0,1.0
30,wide,0.55,0.012,1.0,-0.976,1.0,1.0,1.0
30,wide,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
30,narrow,0.05,0.676,0.976,0.329,1.0,0.0,1.0
30,narrow,0.1,0.676,0.976,0.329,1.0,0.0,1.0
30,narrow,0.15,0.676,0.976,0.329,1.0,0.0,1.0
30,narrow,0.2,0.676,0.976,0.329,1.0,0.0,1.0
30,narrow,0.25,0.606,0.976,0.188,1.0,0.0,1.0
30,narrow,0.3,0.453,0.976,-0.118,1.0,0.0,1.0
30,narrow,0.35,0.382,0.996,-0.239,1.0,0.833,1.0
30,narrow,0.4,0.318,1.0,-0.365,1.0,1.0,1.0
30,narrow,0.45,0.206,1.0,-0.588,1.0,1.0,1.0
30,narrow,0.5,0.065,1.0,-0.871,1.0,1.0,1.0
30,narrow,0.55,0.012,1.0,-0.976,1.0,1.0,1.0
30,narrow,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
40,wide,0.05,0.724,0.976,0.423,1.0,0.0,1.0
40,wide,0.1,0.676,0.976,0.329,1.0,0.0,1.0
40,wide,0.15,0.676,0.976,0.329,1.0,0.0,1.0
40,wide,0.2,0.676,0.976,0.329,1.0,0.0,1.0
40,wide,0.25,0.547,0.976,0.07,1.0,0.0,1.0
40,wide,0.3,0.447,0.98,-0.126,1.0,0.167,1.0
40,wide,0.35,0.359,1.0,-0.282,1.0,1.0,1.0
40,wide,0.4,0.3,1.0,-0.4,1.0,1.0,1.0
40,wide,0.45,0.176,1.0,-0.647,1.0,1.0,1.0
40,wide,0.5,0.035,1.0,-0.929,1.0,1.0,1.0
40,wide,0.55,0.006,1.0,-0.988,1.0,1.0,1.0
40,wide,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
40,narrow,0.05,0.676,0.976,0.329,1.0,0.0,1.0
40,narrow,0.1,0.676,0.976,0.329,1.0,0.0,1.0
40,narrow,0.15,0.676,0.976,0.329,1.0,0.0,1.0
40,narrow,0.2,0.676,0.976,0.329,1.0,0.0,1.0
40,narrow,0.25,0.547,0.976,0.07,1.0,0.0,1.0
40,narrow,0.3,0.447,0.98,-0.126,1.0,0.167,1.0
40,narrow,0.35,0.359,1.0,-0.282,1.0,1.0,1.0
40,narrow,0.4,0.3,1.0,-0.4,1.0,1.0,1.0
40,narrow,0.45,0.176,1.0,-0.647,1.0,1.0,1.0
40,narrow,0.5,0.035,1.0,-0.929,1.0,1.0,1.0
40,narrow,0.55,0.006,1.0,-0.988,1.0,1.0,1.0
40,narrow,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
50,wide,0.05,0.682,0.976,0.341,1.0,0.0,1.0
50,wide,0.1,0.676,0.976,0.329,1.0,0.0,1.0
50,wide,0.15,0.676,0.976,0.329,1.0,0.0,1.0
50,wide,0.2,0.671,0.976,0.317,1.0,0.0,1.0
50,wide,0.25,0.512,0.976,-0.0,1.0,0.0,1.0
50,wide,0.3,0.406,0.996,-0.192,1.0,0.833,1.0
50,wide,0.35,0.329,1.0,-0.341,1.0,1.0,1.0
50,wide,0.4,0.259,1.0,-0.482,1.0,1.0,1.0
50,wide,0.45,0.076,1.0,-0.847,1.0,1.0,1.0
50,wide,0.5,0.018,1.0,-0.965,1.0,1.0,1.0
50,wide,0.55,0.0,1.0,-1.0,1.0,1.0,1.0
50,wide,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
50,narrow,0.05,0.676,0.976,0.329,1.0,0.0,1.0
50,narrow,0.1,0.676,0.976,0.329,1.0,0.0,1.0
50,narrow,0.15,0.676,0.976,0.329,1.0,0.0,1.0
50,narrow,0.2,0.671,0.976,0.317,1.0,0.0,1.0
50,narrow,0.25,0.512,0.976,-0.0,1.0,0.0,1.0
50,narrow,0.3,0.406,0.996,-0.192,1.0,0.833,1.0
50,narrow,0.35,0.329,1.0,-0.341,1.0,1.0,1.0
50,narrow,0.4,0.259,1.0,-0.482,1.0,1.0,1.0
50,narrow,0.45,0.076,1.0,-0.847,1.0,1.0,1.0
50,narrow,0.5,0.018,1.0,-0.965,1.0,1.0,1.0
50,narrow,0.55,0.0,1.0,-1.0,1.0,1.0,1.0
50,narrow,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
60,wide,0.05,0.682,0.976,0.341,1.0,0.0,1.0
60,wide,0.1,0.676,0.976,0.329,1.0,0.0,1.0
60,wide,0.15,0.676,0.976,0.329,1.0,0.0,1.0
60,wide,0.2,0.641,0.984,0.266,1.0,0.333,1.0
60,wide,0.25,0.453,1.0,-0.094,1.0,1.0,1.0
60,wide,0.3,0.347,1.0,-0.306,1.0,1.0,1.0
60,wide,0.35,0.306,1.0,-0.388,1.0,1.0,1.0
60,wide,0.4,0.176,1.0,-0.647,1.0,1.0,1.0
60,wide,0.45,0.029,1.0,-0.941,1.0,1.0,1.0
60,wide,0.5,0.006,1.0,-0.988,1.0,1.0,1.0
60,wide,0.55,0.0,1.0,-1.0,1.0,1.0,1.0
60,wide,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
60,narrow,0.05,0.676,0.976,0.329,1.0,0.0,1.0
60,narrow,0.1,0.676,0.976,0.329,1.0,0.0,1.0
60,narrow,0.15,0.676,0.976,0.329,1.0,0.0,1.0
60,narrow,0.2,0.641,0.984,0.266,1.0,0.333,1.0
60,narrow,0.25,0.453,1.0,-0.094,1.0,1.0,1.0
60,narrow,0.3,0.347,1.0,-0.306,1.0,1.0,1.0
60,narrow,0.35,0.306,1.0,-0.388,1.0,1.0,1.0
60,narrow,0.4,0.176,1.0,-0.647,1.0,1.0,1.0
60,narrow,0.45,0.029,1.0,-0.941,1.0,1.0,1.0
60,narrow,0.5,0.006,1.0,-0.988,1.0,1.0,1.0
60,narrow,0.55,0.0,1.0,-1.0,1.0,1.0,1.0
60,narrow,0.6,0.0,1.0,-1.0,1.0,1.0,1.0
